,iso2c,country,year,NY.GDP.PCAP.CD,SP.DYN.IMRT.IN
1,GB,United Kingdom,1960,1380.306241,22.9
2,GB,United Kingdom,1961,1452.544709,22.5
3,GB,United Kingdom,1962,1513.651449,22
4,GB,United Kingdom,1963,1592.614477,21.4
5,GB,United Kingdom,1964,1729.399978,20.8
6,GB,United Kingdom,1965,1850.954769,20.1
7,GB,United Kingdom,1966,1959.62783,19.6
8,GB,United Kingdom,1967,2023.627564,19.1
9,GB,United Kingdom,1968,1896.386749,18.7
10,GB,United Kingdom,1969,2032.34701,18.4
11,GB,United Kingdom,1970,2347.544318,18
12,GB,United Kingdom,1971,2649.801514,17.7
13,GB,United Kingdom,1972,3030.432514,17.2
14,GB,United Kingdom,1973,3426.276221,16.6
15,GB,United Kingdom,1974,3665.862798,16
16,GB,United Kingdom,1975,4299.745618,15.4
17,GB,United Kingdom,1976,4138.167788,14.7
18,GB,United Kingdom,1977,4681.439932,14.1
19,GB,United Kingdom,1978,5976.938169,13.4
20,GB,United Kingdom,1979,7804.762081,12.7
21,GB,United Kingdom,1980,10032.06208,12
22,GB,United Kingdom,1981,9599.306222,11.4
23,GB,United Kingdom,1982,9146.077357,10.8
24,GB,United Kingdom,1983,8691.518813,10.4
25,GB,United Kingdom,1984,8179.194441,10
26,GB,United Kingdom,1985,8652.216542,9.7
27,GB,United Kingdom,1986,10611.11221,9.5
28,GB,United Kingdom,1987,13118.58653,9.2
29,GB,United Kingdom,1988,15987.16808,8.8
30,GB,United Kingdom,1989,16239.2822,8.4
31,GB,United Kingdom,1990,19095.467,7.9
32,GB,United Kingdom,1991,19900.72665,7.4
33,GB,United Kingdom,1992,20487.17079,7
34,GB,United Kingdom,1993,18389.01957,6.6
35,GB,United Kingdom,1994,19709.2381,6.3
36,GB,United Kingdom,1995,22755.56212,6.1
37,GB,United Kingdom,1996,23947.95875,5.9
38,GB,United Kingdom,1997,26357.52719,5.8
39,GB,United Kingdom,1998,27759.33421,5.8
40,GB,United Kingdom,1999,28154.37126,5.7
41,GB,United Kingdom,2000,27769.93125,5.6
42,GB,United Kingdom,2001,27284.22404,5.4
43,GB,United Kingdom,2002,29603.46576,5.3
44,GB,United Kingdom,2003,34007.88876,5.3
45,GB,United Kingdom,2004,39824.76181,5.2
46,GB,United Kingdom,2005,41524.06554,5.1
47,GB,United Kingdom,2006,44016.72641,5
48,GB,United Kingdom,2007,49949.15488,4.9
49,GB,United Kingdom,2008,46523.26545,4.7
50,GB,United Kingdom,2009,38010.10045,4.6
51,GB,United Kingdom,2010,38708.67629,4.4
52,GB,United Kingdom,2011,41243.12327,4.2
53,GB,United Kingdom,2012,41538.30726,4.1
54,GB,United Kingdom,2013,42407.37101,3.9
55,GB,United Kingdom,2014,46412.11727,3.7
56,GB,United Kingdom,2015,43875.96961,3.5
